DATE,SalesPersonCode,Time,NetAmount
2023-01-01,254,10:21 AM,4590.0
2023-01-01,254,10:32 AM,2290.0
2023-01-01,254,11:12 AM,10950.0
2023-01-01,254,11:12 AM,10950.0
2023-01-01,254,11:12 AM,3650.0
2023-01-01,254,11:12 AM,7300.0
2023-01-01,254,11:49 AM,2290.0
2023-01-01,254,11:53 AM,575.0
2023-01-01,254,11:53 AM,1090.0
2023-01-01,254,11:53 AM,1090.0
2023-01-01,254,11:54 AM,2150.0
2023-01-01,254,12:07 PM,50155.0
2023-01-01,254,12:25 PM,11900.0
2023-01-01,254,12:25 PM,3580.0
2023-01-01,254,12:28 PM,2090.0
2023-01-01,254,2:36 PM,4490.0
2023-01-01,254,2:57 PM,2150.0
2023-01-01,254,2:57 PM,3099.0
2023-01-01,254,3:49 PM,9660.0
2023-01-01,254,4:01 PM,3290.0
2023-01-01,254,4:01 PM,740.0
2023-01-01,254,4:47 PM,2975.0
2023-01-01,254,5:27 PM,3650.0
2023-01-01,254,5:41 PM,490.0
2023-01-01,254,6:28 PM,2290.0
2023-01-01,254,6:33 PM,2290.0
2023-01-01,254,7:06 PM,730.0
2023-01-01,254,7:23 PM,3650.0
2023-01-01,265,9:22 AM,490.0
2023-01-01,265,10:09 AM,3975.0
2023-01-01,265,10:25 AM,1190.0
2023-01-01,265,11:14 AM,285.0
2023-01-01,265,11:14 AM,5750.0
2023-01-01,265,11:31 AM,12990.0
2023-01-01,265,11:32 AM,475.0
2023-01-01,265,11:48 AM,1975.0
2023-01-01,265,11:57 AM,3975.0
2023-01-01,265,12:07 PM,6250.0
2023-01-01,265,12:07 PM,49750.0
2023-01-01,265,12:12 PM,6450.0
2023-01-01,265,12:28 PM,2690.0
2023-01-01,265,12:51 PM,470.0
2023-01-01,265,12:51 PM,3975.0
2023-01-01,265,1:10 PM,450.0
2023-01-01,265,1:10 PM,5250.0
2023-01-01,265,1:21 PM,4975.0
2023-01-01,265,1:22 PM,440.0
2023-01-01,265,1:22 PM,5750.0
2023-01-01,265,1:44 PM,5750.0
2023-01-01,265,1:52 PM,6450.0
2023-01-01,265,1:57 PM,8700.0
2023-01-01,265,1:57 PM,265.0
2023-01-01,265,2:59 PM,1090.0
2023-01-01,265,3:49 PM,54855.0
2023-01-01,265,4:15 PM,475.0
2023-01-01,265,4:15 PM,9500.0
2023-01-01,265,4:49 PM,1850.0
2023-01-01,265,4:58 PM,3450.0
2023-01-01,265,4:58 PM,340.0
2023-01-01,265,5:00 PM,8950.0
2023-01-01,265,5:02 PM,7250.0
2023-01-01,265,5:12 PM,3975.0
2023-01-01,265,5:17 PM,1850.0
2023-01-01,265,5:17 PM,490.0
2023-01-01,265,5:17 PM,490.0
2023-01-01,265,6:03 PM,2690.0
2023-01-01,265,6:16 PM,5750.0
2023-01-01,265,6:18 PM,10500.0
2023-01-01,265,6:19 PM,1350.0
2023-01-01,265,6:19 PM,1090.0
2023-01-01,265,6:33 PM,5750.0
2023-01-01,265,6:50 PM,6450.0
2023-01-01,265,6:51 PM,8950.0
2023-01-01,265,6:59 PM,6450.0
2023-01-01,265,7:01 PM,6450.0
2023-01-01,265,7:02 PM,495.0
2023-01-01,265,7:02 PM,350.0
2023-01-01,265,7:06 PM,5750.0
2023-01-01,265,7:06 PM,990.0
2023-01-01,265,7:12 PM,3975.0
2023-01-01,265,7:14 PM,5750.0
2023-01-01,265,7:24 PM,990.0
2023-01-01,265,7:45 PM,3450.0
2023-01-01,265,7:45 PM,3975.0
2023-01-01,265,8:50 PM,490.0
2023-01-01,430,9:43 AM,1290.0
2023-01-01,430,10:19 AM,1490.0
2023-01-01,430,11:26 AM,590.0
2023-01-01,430,11:26 AM,990.0
2023-01-01,430,11:26 AM,1290.0
2023-01-01,430,11:39 AM,2590.0
2023-01-01,430,11:52 AM,590.0
2023-01-01,430,12:26 PM,1750.0
2023-01-01,430,1:08 PM,1350.0
2023-01-01,430,1:08 PM,1290.0
2023-01-01,430,1:24 PM,2975.0
2023-01-01,430,2:21 PM,1490.0
2023-01-01,430,2:32 PM,1190.0
2023-01-01,430,2:35 PM,390.0
2023-01-01,430,2:45 PM,500.0
2023-01-01,430,3:44 PM,1250.0
2023-01-01,430,3:45 PM,1487.5
2023-01-01,430,3:45 PM,1487.5
2023-01-01,430,3:45 PM,1195.0
2023-01-01,430,3:49 PM,7060.0
2023-01-01,430,4:26 PM,1290.0
2023-01-01,430,4:29 PM,2975.0
2023-01-01,430,5:07 PM,1290.0
2023-01-01,430,5:07 PM,1590.0
2023-01-01,430,5:08 PM,1590.0
2023-01-01,430,6:11 PM,3150.0
2023-01-01,430,6:25 PM,3250.0
2023-01-01,430,6:48 PM,2590.0
2023-01-01,430,7:43 PM,975.0
2023-01-01,430,7:43 PM,990.0
2023-01-01,430,7:43 PM,1490.0
2023-01-01,430,8:17 PM,2975.0
2023-01-01,525,10:16 AM,2290.0
2023-01-01,525,10:16 AM,2290.0
2023-01-01,525,11:03 AM,4890.0
2023-01-01,525,11:24 AM,3290.0
2023-01-01,525,11:24 AM,1890.0
2023-01-01,525,11:24 AM,290.0
2023-01-01,525,11:43 AM,890.0
2023-01-01,525,11:58 AM,3299.0
2023-01-01,525,11:58 AM,370.0
2023-01-01,525,11:58 AM,1975.0
2023-01-01,525,11:58 AM,3150.0
2023-01-01,525,11:59 AM,3150.0
2023-01-01,525,12:01 PM,2150.0
2023-01-01,525,12:01 PM,2150.0
2023-01-01,525,12:10 PM,475.0
2023-01-01,525,12:11 PM,4975.0
2023-01-01,525,12:18 PM,1150.0
2023-01-01,525,12:18 PM,240.0
2023-01-01,525,12:53 PM,5590.0
2023-01-01,525,2:58 PM,2450.0
2023-01-01,525,3:49 PM,10650.0
2023-01-01,525,4:31 PM,4590.0
2023-01-01,525,4:58 PM,405.0
2023-01-01,525,4:58 PM,375.0
2023-01-01,525,7:08 PM,3975.0
2023-01-01,525,7:24 PM,420.0
2023-01-01,544,12:02 PM,2103.7
2023-01-01,544,8:35 PM,387.79
2023-01-01,544,12:29 PM,771.47
2023-01-01,544,11:04 AM,418.61
2023-01-01,544,1:27 PM,108.43
2023-01-01,544,4:21 PM,620.56
2023-01-01,544,5:57 PM,369.12
2023-01-01,544,12:00 PM,325.9
2023-01-01,544,8:16 PM,34.42
2023-01-01,544,5:44 PM,221.2
2023-01-01,544,2:35 PM,42.53
2023-01-01,544,10:37 AM,10.12
2023-01-01,544,7:30 PM,9.52
2023-01-01,544,3:30 PM,837.84
2023-01-01,544,11:55 AM,368.79
2023-01-01,544,11:36 AM,849.69
2023-01-01,544,1:42 PM,137.44
2023-01-01,544,1:17 PM,102.87
2023-01-01,544,11:43 AM,156.15
2023-01-01,544,4:07 PM,458.57
2023-01-01,544,6:21 PM,381.81
2023-01-01,544,3:56 PM,259.44
2023-01-01,544,8:24 PM,34.03
2023-01-01,544,6:00 PM,173.35
2023-01-01,544,12:28 PM,28.3
2023-01-01,544,3:02 PM,581.59
2023-01-01,544,1:33 PM,506.76
2023-01-01,544,8:21 PM,859.69
2023-01-01,544,5:21 PM,612.11
2023-01-01,544,7:12 PM,60.35
2023-01-01,544,1:48 PM,2.38
2023-01-01,544,5:18 PM,111.58
2023-01-01,544,6:44 PM,43.89
2023-01-01,544,5:37 PM,526.92
2023-01-01,544,1:21 PM,0.65
2023-01-01,544,12:07 PM,245.67
2023-01-01,544,8:29 PM,201.76
2023-01-01,544,10:30 AM,265.02
2023-01-01,544,6:51 PM,689.9
2023-01-01,544,2:31 PM,867.31
2023-01-01,544,6:32 PM,464.15
2023-01-01,544,2:39 PM,688.62
2023-01-01,544,5:46 PM,1955.4
2023-01-01,544,1:00 PM,81.52
2023-01-01,544,10:57 AM,440.44
2023-01-01,544,4:15 PM,223.15
2023-01-01,544,2:40 PM,274.49
2023-01-01,544,1:12 PM,140.74
2023-01-01,544,12:10 PM,784.09
2023-01-01,544,5:29 PM,565.17
2023-01-01,544,10:37 AM,428.33
2023-01-01,544,12:29 PM,596.03
2023-01-01,544,11:08 AM,665.64
2023-01-01,544,3:42 PM,1183.56
2023-01-01,544,12:44 PM,119.73
2023-01-01,544,4:12 PM,166.71
2023-01-01,544,10:49 AM,9.74
2023-01-01,544,2:21 PM,153.41
2023-01-01,544,2:32 PM,84.59
2023-01-01,544,3:09 PM,426.19
2023-01-01,544,7:32 PM,816.07
2023-01-01,544,4:24 PM,254.75
2023-01-01,544,11:54 AM,714.55
2023-01-01,544,5:23 PM,5.7
2023-01-01,544,12:19 PM,146.72
2023-01-01,544,1:30 PM,61.67
2023-01-01,544,8:44 PM,868.07
2023-01-01,544,12:10 PM,36.19
2023-01-01,544,3:11 PM,116.68
2023-01-01,544,12:01 PM,120.67
2023-01-01,544,10:34 AM,238.88
2023-01-01,544,1:47 PM,317.44
2023-01-01,544,2:04 PM,87.45
2023-01-01,544,11:51 AM,397.06
2023-01-01,544,2:56 PM,90.8
2023-01-01,544,8:13 PM,158.37
2023-01-01,544,12:52 PM,573.8
2023-01-01,544,11:16 AM,357.75
2023-01-01,544,3:17 PM,65.64
2023-01-01,544,1:03 PM,500.79
2023-01-01,544,11:11 AM,277.05
2023-01-01,544,11:54 AM,74.97
2023-01-01,544,7:22 PM,801.9
2023-01-01,544,10:14 AM,528.17
2023-01-01,544,11:34 AM,162.69
2023-01-01,544,3:55 PM,256.37
2023-01-01,544,3:55 PM,100.87
2023-01-01,544,5:30 PM,67.37
2023-01-01,544,4:34 PM,195.64
2023-01-01,544,10:33 AM,145.01
2023-01-01,544,6:56 PM,383.74
2023-01-01,544,2:03 PM,75.91
2023-01-01,544,6:37 PM,222.33
2023-01-01,544,7:27 PM,213.32
2023-01-01,544,8:10 PM,138.03
2023-01-01,544,1:21 PM,67.86
2023-01-01,544,10:13 AM,870.79
2023-01-01,544,7:15 PM,236.23
2023-01-01,544,1:11 PM,444.1
2023-01-01,544,3:52 PM,417.41
2023-01-01,544,3:15 PM,4.46
2023-01-01,544,7:22 PM,67.63
2023-01-01,544,4:18 PM,80.17
2023-01-01,544,12:43 PM,117.56
2023-01-01,544,2:27 PM,620.65
2023-01-01,544,1:09 PM,511.79
2023-01-01,544,8:46 PM,1210.29
2023-01-01,544,11:34 AM,1486.52
2023-01-01,544,12:28 PM,278.19
2023-01-01,544,11:34 AM,554.29
2023-01-01,544,8:15 PM,287.88
2023-01-01,544,12:03 PM,501.68
2023-01-01,544,12:28 PM,172.36
2023-01-01,544,2:41 PM,1385.45
2023-01-01,544,1:37 PM,73.34
2023-01-01,544,6:25 PM,391.02
2023-01-01,544,1:34 PM,2086.79
2023-01-01,544,3:15 PM,497.19
2023-01-01,544,2:11 PM,1357.03
2023-01-01,544,4:17 PM,5568.32
2023-01-01,544,3:30 PM,7130.29
2023-01-01,544,11:15 AM,2664.36
2023-01-01,544,1:49 PM,177.68
2023-01-01,544,12:57 PM,90.58
2023-01-01,544,2:58 PM,1421.74
2023-01-01,544,6:26 PM,117.46
2023-01-01,544,3:01 PM,9.68
2023-01-01,544,4:37 PM,596.94
2023-01-01,544,1:17 PM,669.9
2023-01-01,544,11:27 AM,426.55
2023-01-01,544,4:27 PM,1329.47
2023-01-01,544,6:53 PM,144.56
2023-01-01,544,5:49 PM,146.33
2023-01-01,544,1:10 PM,173.3
2023-01-01,544,8:58 PM,446.93
2023-01-01,544,1:20 PM,285.68
2023-01-01,544,10:29 AM,93.2
2023-01-01,544,5:50 PM,213.0
2023-01-01,544,10:23 AM,46.81
2023-01-01,544,3:53 PM,715.19
2023-01-01,544,5:38 PM,79.46
2023-01-01,544,3:35 PM,1265.89
2023-01-01,544,11:22 AM,244.65
2023-01-01,544,4:45 PM,553.85
2023-01-01,544,3:38 PM,117.38
2023-01-01,544,4:44 PM,303.77
2023-01-01,544,12:04 PM,955.68
2023-01-01,544,12:43 PM,87.81
2023-01-01,544,8:16 PM,439.12
2023-01-01,544,7:24 PM,1492.39
2023-01-01,544,6:57 PM,506.76
2023-01-01,544,1:50 PM,67.38
2023-01-01,544,5:04 PM,486.52
2023-01-01,544,1:15 PM,229.34
2023-01-01,544,8:57 PM,1516.05
2023-01-01,544,7:23 PM,196.35
2023-01-01,544,11:31 AM,77.6
2023-01-01,544,8:36 PM,103.56
2023-01-01,544,12:35 PM,1404.62
2023-01-01,544,1:50 PM,1882.68
2023-01-01,544,11:53 AM,59.14
2023-01-01,544,6:35 PM,541.56
2023-01-01,544,3:37 PM,239.67
2023-01-01,544,6:41 PM,508.77
2023-01-01,544,2:24 PM,94.13
2023-01-01,544,8:35 PM,48.97
2023-01-01,544,4:59 PM,839.63
2023-01-01,544,12:17 PM,212.82
2023-01-01,544,2:10 PM,94.45
2023-01-01,544,7:15 PM,23.07
2023-01-01,544,5:28 PM,97.16
2023-01-01,544,3:53 PM,910.97
2023-01-01,544,4:41 PM,218.8
2023-01-01,544,1:24 PM,174.29
2023-01-01,544,7:28 PM,238.39
2023-01-01,544,8:44 PM,172.1
2023-01-01,544,12:26 PM,89.3
2023-01-01,544,7:47 PM,575.92
2023-01-01,544,6:34 PM,581.32
2023-01-01,544,7:02 PM,1866.4
2023-01-01,544,6:37 PM,527.28
2023-01-01,544,10:49 AM,641.66
2023-01-01,544,5:19 PM,395.62
2023-01-01,544,1:45 PM,4.55
2023-01-01,544,6:33 PM,302.53
2023-01-01,544,7:04 PM,5.64
2023-01-02,254,11:50 AM,375.0
2023-01-02,254,11:55 AM,590.0
2023-01-02,254,12:05 PM,2450.0
2023-01-02,254,12:49 PM,2599.0
2023-01-02,254,12:49 PM,420.0
2023-01-02,254,12:49 PM,375.0
2023-01-02,254,2:11 PM,2999.0
2023-01-02,254,3:13 PM,3190.0
2023-01-02,254,3:22 PM,1490.0
2023-01-02,254,3:22 PM,1550.0
2023-01-02,254,3:22 PM,170.0
2023-01-02,254,3:48 PM,3450.0
2023-01-02,254,4:16 PM,5500.0
2023-01-02,254,4:37 PM,1290.0
2023-01-02,254,4:37 PM,320.0
2023-01-02,254,4:48 PM,3150.0
2023-01-02,254,4:48 PM,375.0
2023-01-02,254,4:48 PM,790.0
2023-01-02,254,4:49 PM,1390.0
2023-01-02,254,5:55 PM,2090.0
2023-01-02,254,7:15 PM,2590.0
2023-01-02,254,7:39 PM,11900.0
2023-01-02,254,7:44 PM,7050.0
2023-01-02,254,7:46 PM,140.0
2023-01-02,254,8:22 PM,2590.0
2023-01-02,254,8:34 PM,425.0
2023-01-02,265,9:47 AM,11950.0
2023-01-02,265,11:05 AM,2890.0
2023-01-02,265,11:52 AM,1850.0
2023-01-02,265,12:51 PM,1650.0
2023-01-02,265,4:29 PM,3450.0
2023-01-02,265,4:31 PM,12900.0
2023-01-02,265,4:46 PM,2690.0
2023-01-02,265,5:02 PM,495.0
2023-01-02,265,5:02 PM,495.0
2023-01-02,265,5:02 PM,460.0
2023-01-02,265,5:03 PM,720.0
2023-01-02,265,5:03 PM,4750.0
2023-01-02,265,5:24 PM,1850.0
2023-01-02,265,5:56 PM,5750.0
2023-01-02,265,7:33 PM,2850.0
2023-01-02,265,7:44 PM,4975.0
2023-01-02,265,8:17 PM,1850.0
2023-01-02,265,8:18 PM,250.0
2023-01-02,265,8:18 PM,310.0
2023-01-02,265,8:20 PM,690.0
2023-01-02,265,8:20 PM,490.0
2023-01-02,265,8:21 PM,490.0
2023-01-02,265,8:21 PM,490.0
2023-01-02,265,8:22 PM,1875.0
2023-01-02,265,8:22 PM,360.0
2023-01-02,265,8:22 PM,490.0
2023-01-02,430,9:27 AM,1490.0
2023-01-02,430,10:09 AM,1090.0
2023-01-02,430,11:43 AM,1470.0
2023-01-02,430,11:56 AM,1690.0
2023-01-02,430,11:58 AM,975.0
2023-01-02,430,12:07 PM,1690.0
2023-01-02,430,12:11 PM,1290.0
2023-01-02,430,1:52 PM,975.0
2023-01-02,430,2:31 PM,2975.0
2023-01-02,430,2:36 PM,975.0
2023-01-02,430,3:09 PM,350.0
2023-01-02,430,3:27 PM,990.0
2023-01-02,430,3:53 PM,3690.0
2023-01-02,430,4:42 PM,575.0
2023-01-02,430,4:45 PM,2975.0
2023-01-02,430,4:45 PM,1690.0
2023-01-02,430,5:49 PM,3150.0
2023-01-02,430,6:19 PM,2975.0
2023-01-02,430,6:46 PM,3150.0
2023-01-02,430,6:46 PM,2590.0
2023-01-02,430,7:21 PM,1750.0
2023-01-02,430,7:44 PM,18920.0
2023-01-02,525,9:24 AM,2090.0
2023-01-02,525,1:32 PM,1150.0
2023-01-02,525,2:30 PM,475.0
2023-01-02,525,2:30 PM,4975.0
2023-01-02,525,3:17 PM,2290.0
2023-01-02,525,3:18 PM,2290.0
2023-01-02,525,3:18 PM,2290.0
2023-01-02,525,4:41 PM,1250.0
2023-01-02,525,5:17 PM,4500.0
2023-01-02,525,5:17 PM,375.0
2023-01-02,525,6:07 PM,1490.0
2023-01-02,525,7:23 PM,2090.0
2023-01-02,525,7:44 PM,3940.0
2023-01-02,525,7:54 PM,2690.0
2023-01-02,544,2:23 PM,803.35
2023-01-02,544,10:46 AM,106.14
2023-01-02,544,10:09 AM,780.51
2023-01-03,254,9:24 AM,1850.0
2023-01-03,254,10:05 AM,1750.0
2023-01-03,254,10:27 AM,2150.0
2023-01-03,254,10:50 AM,485.0
2023-01-03,254,10:51 AM,49750.0
2023-01-03,254,11:06 AM,2090.0
2023-01-03,254,11:19 AM,410.0
2023-01-03,254,11:19 AM,590.0
2023-01-03,254,11:39 AM,3290.0
2023-01-03,254,12:27 PM,1090.0
2023-01-03,254,12:32 PM,475.0
2023-01-03,254,1:09 PM,1090.0
2023-01-03,254,1:10 PM,390.0
2023-01-03,254,1:45 PM,3650.0
2023-01-03,254,2:06 PM,2450.0
2023-01-03,254,2:14 PM,2150.0
2023-01-03,254,2:41 PM,2799.0
2023-01-03,254,3:20 PM,2590.0
2023-01-03,254,3:20 PM,2590.0
2023-01-03,254,3:30 PM,2150.0
2023-01-03,254,3:30 PM,1250.0
2023-01-03,254,3:30 PM,150.0
2023-01-03,254,3:31 PM,490.0
2023-01-03,254,3:36 PM,2100.0
2023-01-03,254,3:49 PM,4975.0
2023-01-03,254,3:50 PM,4975.0
2023-01-03,254,3:56 PM,2090.0
2023-01-03,254,4:48 PM,1090.0
2023-01-03,254,4:53 PM,1090.0
2023-01-03,254,5:12 PM,1245.0
2023-01-03,254,5:13 PM,3450.0
2023-01-03,254,5:38 PM,3975.0
2023-01-03,254,5:38 PM,475.0
2023-01-03,254,5:40 PM,4975.0
2023-01-03,254,5:40 PM,475.0
2023-01-03,254,6:25 PM,3290.0
2023-01-03,254,6:26 PM,2150.0
2023-01-03,254,6:39 PM,2090.0
2023-01-03,254,8:30 PM,4590.0
2023-01-03,254,8:33 PM,2799.0
2023-01-03,265,9:37 AM,2850.0
2023-01-03,265,10:51 AM,270125.0
2023-01-03,265,10:51 AM,930.0
2023-01-03,265,10:52 AM,310.0
2023-01-03,265,10:52 AM,310.0
2023-01-03,265,11:16 AM,3975.0
2023-01-03,265,11:28 AM,3975.0
2023-01-03,265,12:13 PM,975.0
2023-01-03,265,12:13 PM,475.0
2023-01-03,265,12:13 PM,1850.0
2023-01-03,265,12:14 PM,1850.0
2023-01-03,265,12:16 PM,2690.0
2023-01-03,265,12:17 PM,1850.0
2023-01-03,265,12:17 PM,975.0
2023-01-03,265,12:18 PM,4975.0
2023-01-03,265,12:18 PM,4975.0
2023-01-03,265,12:46 PM,6450.0
2023-01-03,265,1:08 PM,4975.0
2023-01-03,265,1:08 PM,1850.0
2023-01-03,265,1:08 PM,1850.0
2023-01-03,265,1:26 PM,3975.0
2023-01-03,265,1:27 PM,8950.0
2023-01-03,265,1:27 PM,490.0
2023-01-03,265,1:27 PM,475.0
2023-01-03,265,2:21 PM,4975.0
2023-01-03,265,2:22 PM,4975.0
2023-01-03,265,2:22 PM,4975.0
2023-01-03,265,2:23 PM,5750.0
2023-01-03,265,3:33 PM,1090.0
